# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=24h_clock
# Date=12:24:31
# CreatedBy=Fritzing 1.0.4.2024-10-07.0.9.6-2244-ga8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Q20,";;;;;;;;","TO92 [THT]",2197.4,4414.11,90,Top,THT
Via89,";;;;;;;;","",694.998,5715.66,0,Top,MANUAL
R19,"220;;;;;0.25;;;","THT",2929.26,1821.18,-90,Top,THT
D170,";;;;;;;;","300 mil [THT]",2446.97,5638.29,90,Top,THT
J-6,";;;;;;;;","THT",1610.35,6896.77,0,Bottom,THT
Via55,";;;;;;;;","",2594.61,2890.87,0,Top,MANUAL
D57,";;;;;;;;","300 mil [THT]",1452.87,1770.18,-90,Top,THT
R47,"220;;;;;0.25;;;","THT",2515.87,7198.74,90,Top,THT
D211,";;;;;;;;","300 mil [THT]",1313.72,7290.47,180,Top,THT
D224,";;;;;;;;","300 mil [THT]",1313.72,7585.75,180,Top,THT
D181,";;;;;;;;","300 mil [THT]",2968.62,6159.95,-90,Top,THT
D125,";;;;;;;;","300 mil [THT]",2250.12,5244.59,90,Top,THT
D210,";;;;;;;;","300 mil [THT]",1313.72,7881.03,180,Top,THT
D2,";;;;;;;;","300 mil [THT]",1638.52,292.44,180,Top,THT
Via91,";;;;;;;;","",596.573,5617.25,0,Top,MANUAL
C5,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2674.92,371.184,0,Top,THT
Via242,";;;;;;;;","",409.566,7634.97,0,Top,MANUAL
J-0,";;;;;;;;","THT",1610.35,8274.73,0,Bottom,THT
R20,"220;;;;;0.25;;;","THT",2732.4,1821.18,-90,Top,THT
D79,";;;;;;;;","300 mil [THT]",1895.79,2968.24,90,Top,THT
R30,"220;;;;;0.25;;;","THT",3611.53,1109.36,0,Top,THT
D80,";;;;;;;;","300 mil [THT]",3086.73,2968.24,90,Top,THT
R25,"220;;;;;0.25;;;","THT",3611.53,2093.62,0,Top,THT
Via95,";;;;;;;;","",399.723,5223.54,0,Top,MANUAL
D199,";;;;;;;;","300 mil [THT]",910.172,8028.66,180,Top,THT
Via237,";;;;;;;;","",606.417,7930.24,0,Top,MANUAL
Via243,";;;;;;;;","",507.992,7585.75,0,Top,MANUAL
J14,";;;;;;;;","THT",4228.47,2488.91,180,Top,THT
R32,"220;;;;;0.25;;;","THT",3611.53,715.662,0,Top,THT
D14,";;;;;;;;","300 mil [THT]",1846.57,992.618,-90,Top,THT
D175,";;;;;;;;","300 mil [THT]",2673.35,6159.95,-90,Top,THT
D223,";;;;;;;;","300 mil [THT]",1313.72,7979.45,180,Top,THT
Via19,";;;;;;;;","",1256.02,1010.94,0,Top,MANUAL
J-8,";;;;;;;;","THT",1610.35,6503.07,0,Bottom,THT
D52,";;;;;;;;","300 mil [THT]",1551.3,1376.48,-90,Top,THT
D89,";;;;;;;;","300 mil [THT]",1305.23,3640.26,-90,Top,THT
R35,"220;;;;;0.25;;;","THT",1265.86,4799.89,90,Top,THT
Via108,";;;;;;;;","",1954.84,5223.54,0,Top,MANUAL
D127,";;;;;;;;","300 mil [THT]",1757.99,5244.59,90,Top,THT
D163,";;;;;;;;","300 mil [THT]",1069.01,5638.29,90,Top,THT
Via125,";;;;;;;;","",3608.39,3048.34,0,Top,MANUAL
D10,";;;;;;;;","300 mil [THT]",1452.87,992.618,-90,Top,THT
R23,"220;;;;;0.25;;;","THT",3611.53,2487.32,0,Top,THT
Via12,";;;;;;;;","",1945,961.733,0,Top,MANUAL
Via236,";;;;;;;;","",507.992,8028.67,0,Top,MANUAL
D152,";;;;;;;;","300 mil [THT]",970.592,5638.29,90,Top,THT
D59,";;;;;;;;","300 mil [THT]",2830.82,1770.18,-90,Top,THT
R42,"220;;;;;0.25;;;","THT",2250.12,4799.89,90,Top,THT
D28,";;;;;;;;","300 mil [THT]",3027.68,992.618,-90,Top,THT
D202,";;;;;;;;","300 mil [THT]",910.172,6060.16,180,Top,THT
Via63,";;;;;;;;","",2988.31,2989.29,0,Top,MANUAL
Via112,";;;;;;;;","",2250.12,5272.75,0,Top,MANUAL
Via249,";;;;;;;;","",409.566,7192.05,0,Top,MANUAL
D4,";;;;;;;;","300 mil [THT]",1641.24,390.862,0,Top,THT
D69,";;;;;;;;","300 mil [THT]",2191.06,2574.54,90,Top,THT
Q4,";;;;;;;;","TO92 [THT]",1013.46,2212.5,-90,Top,THT
D103,";;;;;;;;","300 mil [THT]",813.108,4050.92,-90,Top,THT
D109,";;;;;;;;","300 mil [THT]",1403.66,4050.92,-90,Top,THT
J-5,";;;;;;;;","THT",1610.35,7290.47,0,Bottom,THT
D191,";;;;;;;;","300 mil [THT]",910.172,6749.14,180,Top,THT
D229,";;;;;;;;","300 mil [THT]",1313.72,6404.65,180,Top,THT
Via21,";;;;;;;;","",1059.17,1060.15,0,Top,MANUAL
Via31,";;;;;;;;","",1157.6,1355.43,0,Top,MANUAL
D63,";;;;;;;;","300 mil [THT]",1649.72,1770.18,-90,Top,THT
Via109,";;;;;;;;","",1265.86,5272.75,0,Top,MANUAL
Q1,";;;;;;;;","TO92 [THT]",1338.26,588.484,-90,Top,THT
D230,";;;;;;;;","300 mil [THT]",1313.72,6601.5,180,Top,THT
D67,";;;;;;;;","300 mil [THT]",1403.66,2574.54,90,Top,THT
Via122,";;;;;;;;","",2939.1,5617.24,0,Top,MANUAL
D61,";;;;;;;;","300 mil [THT]",1256.02,1770.18,-90,Top,THT
D54,";;;;;;;;","300 mil [THT]",1846.57,1770.18,-90,Top,THT
R27,"220;;;;;0.25;;;","THT",3611.53,1699.92,0,Top,THT
D76,";;;;;;;;","300 mil [THT]",2791.46,2574.54,90,Top,THT
Q_0-3,";;;;;;;;","THT",124.133,1212.13,180,Bottom,THT
Via98,";;;;;;;;","",2545.4,5174.33,0,Top,MANUAL
R13,"220;;;;;0.25;;;","THT",1157.6,1821.18,-90,Top,THT
D177,";;;;;;;;","300 mil [THT]",2870.19,6159.95,-90,Top,THT
Via235,";;;;;;;;","",557.204,8077.88,0,Top,MANUAL
Via241,";;;;;;;;","",458.779,7782.6,0,Top,MANUAL
Q30,";;;;;;;;","TO92 [THT]",3996.16,1598,0,Top,THT
Via7,";;;;;;;;","",645.786,1404.64,0,Top,MANUAL
Via38,";;;;;;;;","",2830.83,1404.64,0,Top,MANUAL
J-6,";;;;;;;;","THT",4198.93,1601.5,180,Bottom,THT
D30,";;;;;;;;","300 mil [THT]",3027.68,1376.48,-90,Top,THT
D55,";;;;;;;;","300 mil [THT]",2240.27,1770.18,-90,Top,THT
Via118,";;;;;;;;","",1364.29,5617.24,0,Top,MANUAL
Via76,";;;;;;;;","",1895.79,3245.2,0,Top,MANUAL
10-hours,";;;;;;;;","THT",124.133,8230.24,-180,Bottom,THT
Q16,";;;;;;;;","TO92 [THT]",1400.16,4414.11,90,Top,THT
D216,";;;;;;;;","300 mil [THT]",1313.72,6207.8,180,Top,THT
D166,";;;;;;;;","300 mil [THT]",3037.52,5638.29,90,Top,THT
D31,";;;;;;;;","300 mil [THT]",1354.45,1376.48,-90,Top,THT
D128,";;;;;;;;","300 mil [THT]",970.593,5244.59,90,Top,THT
Via34,";;;;;;;;","",1354.45,1355.43,0,Top,MANUAL
Via68,";;;;;;;;","",3313.11,3363.31,0,Top,MANUAL
D68,";;;;;;;;","300 mil [THT]",1206.81,2574.54,90,Top,THT
D87,";;;;;;;;","300 mil [THT]",2092.64,2968.24,90,Top,THT
Q15,";;;;;;;;","TO92 [THT]",1006.46,4414.11,90,Top,THT
D214,";;;;;;;;","300 mil [THT]",1313.72,7684.17,180,Top,THT
D107,";;;;;;;;","300 mil [THT]",2594.61,4050.92,-90,Top,THT
D115,";;;;;;;;","300 mil [THT]",1757.99,4850.89,90,Top,THT
D60,";;;;;;;;","300 mil [THT]",1059.17,1770.18,-90,Top,THT
D27,";;;;;;;;","300 mil [THT]",2929.26,992.618,-90,Top,THT
D90,";;;;;;;;","300 mil [THT]",1698.94,3640.26,-90,Top,THT
D148,";;;;;;;;","300 mil [THT]",1265.86,5244.59,90,Top,THT
D142,";;;;;;;;","300 mil [THT]",3037.52,5244.59,90,Top,THT
J-7,";;;;;;;;","THT",4198.93,1798.35,180,Bottom,THT
Via254,";;;;;;;;","",507.992,6847.57,0,Top,MANUAL
D12,";;;;;;;;","300 mil [THT]",1157.6,992.618,-90,Top,THT
Via231,";;;;;;;;","",606.417,8274.73,0,Top,MANUAL
D81,";;;;;;;;","300 mil [THT]",2289.49,2968.24,90,Top,THT
D207,";;;;;;;;","300 mil [THT]",910.172,8323.94,180,Top,THT
D161,";;;;;;;;","300 mil [THT]",1954.84,5638.29,90,Top,THT
Via79,";;;;;;;;","",2092.64,3363.31,0,Top,MANUAL
Via24,";;;;;;;;","",2437.12,1060.15,0,Top,MANUAL
Q23,";;;;;;;;","TO92 [THT]",2394.26,4414.11,90,Top,THT
D145,";;;;;;;;","300 mil [THT]",2643.82,5244.59,90,Top,THT
D106,";;;;;;;;","300 mil [THT]",2791.46,4050.92,-90,Top,THT
Via258,";;;;;;;;","",606.417,6503.08,0,Top,MANUAL
Q35,";;;;;;;;","TO92 [THT]",3996.16,810.596,0,Top,THT
Q33,";;;;;;;;","TO92 [THT]",3996.16,2385.41,0,Top,THT
Q21,";;;;;;;;","TO92 [THT]",2000.55,4414.11,90,Top,THT
J-4,";;;;;;;;","THT",4198.93,1207.8,180,Bottom,THT
D118,";;;;;;;;","300 mil [THT]",970.593,4850.89,90,Top,THT
D159,";;;;;;;;","300 mil [THT]",1659.56,5638.29,90,Top,THT
C3,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2133.58,371.184,0,Top,THT
Via99,";;;;;;;;","",2151.69,5174.33,0,Top,MANUAL
D167,";;;;;;;;","300 mil [THT]",872.159,5638.29,90,Top,THT
D179,";;;;;;;;","300 mil [THT]",3067.04,6159.95,-90,Top,THT
D173,";;;;;;;;","300 mil [THT]",2771.77,6159.95,-90,Top,THT
D3,";;;;;;;;","300 mil [THT]",1641.24,499.129,0,Top,THT
Via88,";;;;;;;;","",3460.75,3757.01,0,Top,MANUAL
D172,";;;;;;;;","300 mil [THT]",1265.86,5638.29,90,Top,THT
D132,";;;;;;;;","300 mil [THT]",2840.67,5244.59,90,Top,THT
D25,";;;;;;;;","300 mil [THT]",2338.7,992.618,-90,Top,THT
Via14,";;;;;;;;","",2732.4,961.733,0,Top,MANUAL
Via120,";;;;;;;;","",970.589,5617.24,0,Top,MANUAL
D94,";;;;;;;;","300 mil [THT]",2889.88,3640.26,-90,Top,THT
D36,";;;;;;;;","300 mil [THT]",1748.15,1376.48,-90,Top,THT
Q14,";;;;;;;;","TO92 [THT]",2794.96,2212.5,-90,Top,THT
D133,";;;;;;;;","300 mil [THT]",2151.69,5244.59,90,Top,THT
Via9,";;;;;;;;","",763.896,961.733,0,Top,MANUAL
D150,";;;;;;;;","300 mil [THT]",1167.44,5638.29,90,Top,THT
D50,";;;;;;;;","300 mil [THT]",2043.42,1376.48,-90,Top,THT
